layer,type,total_ms,delta_ms,sync1_ms,fire_ms,shared_ms,collect_ms,finish_ms,remotes,local_selected,slow_rank,slow_selected,slow_worker_ms,submissions,dispatches
0,GDN,2.717,-0.004,0.930,0.369,0.206,1.149,0.064,3,2,1,3,1.100,3,32
1,GDN+PLE,3.284,0.094,1.255,0.400,0.223,1.343,0.064,4,0,6,3,1.440,3,36
2,GDN,2.851,0.357,0.935,0.403,0.219,1.230,0.064,4,0,7,3,1.380,2,28
3,QSA,2.537,-0.301,0.943,0.350,0.199,0.968,0.078,3,2,4,3,0.990,3,39
4,GDN,2.458,-0.164,0.942,0.401,0.196,0.855,0.063,4,0,7,3,0.870,2,28
5,GDN,2.621,0.140,0.941,0.358,0.196,1.064,0.063,3,3,6,3,0.980,3,33
6,GDN,2.595,-0.237,0.938,0.397,0.196,1.001,0.064,4,0,3,3,0.990,2,28
7,QSA,2.547,-0.027,0.943,0.365,0.199,0.975,0.065,3,2,4,3,1.000,3,39
8,GDN,2.618,-0.144,0.940,0.368,0.194,1.040,0.075,3,3,3,3,0.980,3,33
9,GDN,2.543,0.000,0.938,0.392,0.196,0.952,0.065,4,0,1,3,1.000,2,28
10,GDN,2.558,-0.025,0.936,0.416,0.197,0.945,0.064,4,0,7,3,0.990,2,28
11,QSA,2.552,0.028,0.935,0.361,0.197,0.995,0.064,3,2,4,3,0.980,3,39
12,GDN,2.565,-0.197,0.934,0.406,0.199,0.962,0.064,4,0,1,3,1.010,2,28
13,GDN,2.618,0.003,0.943,0.358,0.194,1.060,0.064,3,2,2,3,0.980,3,33
14,GDN,2.607,-0.239,0.934,0.399,0.198,1.013,0.064,4,0,1,3,1.000,2,28
15,QSA,2.545,-0.254,0.943,0.411,0.196,0.932,0.064,3,2,4,3,0.990,3,39
16,GDN,2.551,0.063,0.932,0.355,0.202,0.998,0.064,3,2,3,3,0.990,3,33
17,GDN,2.599,0.058,0.950,0.410,0.207,0.969,0.064,4,0,4,3,1.000,2,28
18,GDN,2.519,-0.111,0.933,0.393,0.210,0.920,0.064,4,0,3,3,0.990,2,28
19,QSA,2.516,-0.003,0.940,0.356,0.196,0.960,0.064,3,2,4,3,0.980,3,39
20,GDN,2.530,0.022,0.937,0.425,0.196,0.908,0.064,4,0,7,3,1.000,2,28
21,GDN,2.606,0.127,0.934,0.355,0.194,1.060,0.064,3,3,6,3,0.980,3,33
22,GDN,2.574,-0.369,0.951,0.411,0.196,0.952,0.064,4,0,7,3,0.990,2,28
23,QSA,2.636,-0.267,0.945,0.360,0.199,1.069,0.063,3,3,4,3,0.980,3,39
24,GDN,2.528,0.019,0.928,0.355,0.195,0.985,0.064,3,2,5,3,1.000,3,33
25,GDN,2.614,0.061,0.933,0.407,0.194,1.015,0.064,4,0,1,3,0.990,2,28
26,GDN,2.515,-0.342,0.947,0.402,0.215,0.885,0.064,4,0,5,3,0.990,2,28
27,QSA,2.630,0.112,0.946,0.367,0.200,1.053,0.064,3,3,4,3,0.990,3,39
28,GDN,2.544,0.067,0.933,0.448,0.195,0.905,0.064,4,0,7,3,1.000,2,28
29,GDN,2.635,-0.177,0.938,0.355,0.196,1.082,0.064,3,3,2,3,1.010,3,33
30,GDN,2.484,0.047,0.959,0.407,0.198,0.857,0.064,4,0,1,3,0.840,2,28
31,QSA,2.642,-0.213,0.944,0.357,0.198,1.079,0.064,3,3,2,3,1.000,3,39
32,GDN,2.646,0.123,0.932,0.362,0.197,1.090,0.064,3,4,3,3,0.990,3,33
33,GDN,2.645,-0.189,0.934,0.402,0.198,1.046,0.064,4,0,1,3,1.000,2,28
34,GDN,2.577,-0.358,0.947,0.409,0.197,0.961,0.064,4,0,7,3,0.990,2,28
35,QSA,2.631,0.087,0.947,0.359,0.199,1.062,0.064,3,2,3,3,0.980,3,39
36,GDN,2.573,-0.015,0.952,0.408,0.201,0.948,0.064,4,0,1,3,1.010,2,28
37,GDN,2.532,-0.092,0.944,0.352,0.199,0.973,0.064,3,2,2,3,0.990,3,33
38,GDN,2.685,-0.173,0.967,0.418,0.207,1.029,0.066,4,0,7,3,0.990,2,28
39,QSA,2.644,-0.158,0.958,0.374,0.201,1.048,0.064,3,3,2,3,0.980,3,39
40,GDN,2.630,0.120,0.951,0.358,0.197,1.062,0.063,3,3,3,3,0.980,3,33
41,GDN,2.543,-0.236,0.948,0.404,0.199,0.928,0.065,4,0,2,3,0.980,2,28
42,GDN,2.571,-0.021,0.948,0.408,0.200,0.951,0.064,4,0,2,3,0.980,2,28
43,QSA,2.601,0.061,0.957,0.356,0.200,1.024,0.064,3,2,4,3,0.970,3,39
44,GDN,2.668,-0.186,0.962,0.412,0.200,1.031,0.064,4,0,1,3,1.010,2,28
45,GDN,2.522,-0.078,0.949,0.406,0.203,0.899,0.064,3,2,2,3,0.980,3,33
46,GDN,2.451,-0.047,0.956,0.410,0.202,0.817,0.065,4,0,7,3,0.840,2,28
47,QSA,2.631,-0.005,0.964,0.379,0.200,0.923,0.165,3,3,4,3,0.850,4,40
